
Assembly                                   FullName                                                                                                                                Name                                                     
--------                                   --------                                                                                                                                ----                                                     
0Harmony                                   HarmonyLib.CodeMatcher+MatchDelegate                                                                                                    MatchDelegate                                            
0Harmony                                   HarmonyLib.DelegateTypeFactory                                                                                                          DelegateTypeFactory                                      
0Harmony                                   HarmonyLib.DelegateTypeFactory+DelegateEntry                                                                                            DelegateEntry                                            
0Harmony                                   HarmonyLib.HarmonyDelegate                                                                                                              HarmonyDelegate                                          
modio.UI                                   ModIOBrowser.Browser+RetrieveAuthenticationCodeDelegate                                                                                 RetrieveAuthenticationCodeDelegate                       
modio.UI                                   ModIOBrowser.Browser+VirtualKeyboardDelegate                                                                                            VirtualKeyboardDelegate                                  
modio.UnityPlugin                          ICSharpCode.SharpZipLib.Zip.FastZip+ConfirmOverwriteDelegate                                                                            ConfirmOverwriteDelegate                                 
modio.UnityPlugin                          ModIO.LogMessageDelegate                                                                                                                LogMessageDelegate                                       
modio.UnityPlugin                          ModIO.ModManagementEventDelegate                                                                                                        ModManagementEventDelegate                               
Mono.WebBrowser                            Mono.Mozilla.nsIReadSegmentFunDelegate                                                                                                  nsIReadSegmentFunDelegate                                
Mono.WebBrowser                            Mono.Mozilla.nsITimerCallbackDelegate                                                                                                   nsITimerCallbackDelegate                                 
Mono.WebBrowser                            Mono.Mozilla.nsIWriteSegmentFunDelegate                                                                                                 nsIWriteSegmentFunDelegate                               
MonoMod.Utils                              MonoMod.Cil.RuntimeILReferenceBag+FastDelegateInvokers                                                                                  FastDelegateInvokers                                     
MonoMod.Utils                              MonoMod.Utils.FastReflectionDelegate                                                                                                    FastReflectionDelegate                                   
Newtonsoft.Json                            Newtonsoft.Json.Utilities.LateBoundReflectionDelegateFactory                                                                            LateBoundReflectionDelegateFactory                       
Newtonsoft.Json                            Newtonsoft.Json.Utilities.ReflectionDelegateFactory                                                                                     ReflectionDelegateFactory                                
PlayFab                                    PlayFab.ClientModels.GetPlayFabIDsFromKongregateIDsRequest                                                                              GetPlayFabIDsFromKongregateIDsRequest                    
PlayFab                                    PlayFab.ClientModels.GetPlayFabIDsFromKongregateIDsResult                                                                               GetPlayFabIDsFromKongregateIDsResult                     
PlayFab                                    PlayFab.ClientModels.KongregatePlayFabIdPair                                                                                            KongregatePlayFabIdPair                                  
PlayFab                                    PlayFab.ClientModels.LinkKongregateAccountRequest                                                                                       LinkKongregateAccountRequest                             
PlayFab                                    PlayFab.ClientModels.LinkKongregateAccountResult                                                                                        LinkKongregateAccountResult                              
PlayFab                                    PlayFab.ClientModels.LoginWithKongregateRequest                                                                                         LoginWithKongregateRequest                               
PlayFab                                    PlayFab.ClientModels.UnlinkKongregateAccountRequest                                                                                     UnlinkKongregateAccountRequest                           
PlayFab                                    PlayFab.ClientModels.UnlinkKongregateAccountResult                                                                                      UnlinkKongregateAccountResult                            
PlayFab                                    PlayFab.ClientModels.UserKongregateInfo                                                                                                 UserKongregateInfo                                       
PlayFab                                    PlayFab.Json.ReflectionUtils+ConstructorDelegate                                                                                        ConstructorDelegate                                      
PlayFab                                    PlayFab.Json.ReflectionUtils+GetDelegate                                                                                                GetDelegate                                              
PlayFab                                    PlayFab.Json.ReflectionUtils+SetDelegate                                                                                                SetDelegate                                              
Pug.ControlMapping                         ControlMapping_MappingController+ActionMappingChangeDelegate                                                                            ActionMappingChangeDelegate                              
Pug.ECS.Authoring                          DoorAuthoring                                                                                                                           DoorAuthoring                                            
Pug.ECS.Authoring                          FenceGateAuthoring                                                                                                                      FenceGateAuthoring                                       
Pug.ECS.Conversion                         DoorConverter                                                                                                                           DoorConverter                                            
Pug.ECS.Conversion                         FenceGateConverter                                                                                                                      FenceGateConverter                                       
Pug.Objects                                ElectricalDoor                                                                                                                          ElectricalDoor                                           
Pug.Objects                                ElectricalDropGate                                                                                                                      ElectricalDropGate                                       
Pug.Objects                                ElectricalDropGate+<PlayGateMoveSfxWithDelay>d__23                                                                                      <PlayGateMoveSfxWithDelay>d__23                          
Pug.Objects                                ExcavationDoor                                                                                                                          ExcavationDoor                                           
Pug.Objects                                ExcavationDrillDoor                                                                                                                     ExcavationDrillDoor                                      
